X Z Cp
0.671870 -1.171300 -0.350120
0.675460 -1.171800 -0.355440
0.679050 -1.160200 -0.361020
0.682640 -1.154600 -0.366880
0.686230 -1.166000 -0.372330
0.689830 -1.158400 -0.378040
0.693430 -1.164800 -0.383220
0.697030 -1.170100 -0.388680
0.700630 -1.168400 -0.394690
0.704230 -1.166700 -0.400050
0.707830 -1.161000 -0.404830
0.711440 -1.164300 -0.409720
0.715040 -1.167500 -0.414460
0.718650 -1.171700 -0.419180
0.722260 -1.163900 -0.423270
0.725860 -1.177100 -0.426730
0.729470 -1.176300 -0.429560
0.733070 -1.162400 -0.431940
0.736680 -1.177500 -0.433600
0.740280 -1.164600 -0.434290
0.743890 -1.159600 -0.434350
0.747490 -1.159600 -0.433580
0.751090 -1.171600 -0.431420
0.754690 -1.160600 -0.427830
0.758290 -1.166500 -0.423460
0.761890 -1.158400 -0.417710
0.765480 -1.161300 -0.410520
0.769080 -1.172100 -0.402290
0.772670 -1.156900 -0.392480
0.776260 -1.161700 -0.381860
0.779840 -1.170500 -0.370320
0.783430 -1.164200 -0.359640
0.787010 -1.160900 -0.349530
0.790590 -1.166500 -0.341490
0.794170 -1.175200 -0.334420
0.797750 -1.154700 -0.328080
0.801320 -1.164300 -0.321570
0.804890 -1.172800 -0.205920
0.808460 -1.172400 -0.164590
0.812030 -1.159800 -0.153870
0.815600 -1.166300 -0.131480
0.819170 -1.156700 -0.108580
0.822740 -1.160100 -0.081809
0.826310 -1.156500 -0.053293
0.829880 -1.156900 -0.023735
0.833450 -1.163200 0.006311
0.837030 -1.157600 0.037111
0.840610 -1.151900 0.068149
0.844190 -1.153300 0.098865
0.847770 -1.146600 0.129180
0.851340 -1.153000 0.159030
0.854900 -1.160300 0.187820
0.858460 -1.155700 0.215260
0.862010 -1.159100 0.241270
0.865550 -1.148500 0.265360
0.869070 -1.153000 0.287360
0.872570 -1.160500 0.307020
0.876020 -1.148100 0.323900
0.879380 -1.148800 0.337360
0.882570 -1.142500 0.347120
0.885480 -1.151300 0.352400
0.888040 -1.152200 0.354240
