X Z P
0.060004 -0.032695 38262.335940
0.062734 -0.031886 38215.683590
0.062854 -0.015943 38216.085940
0.062892 -0.028956 38215.019530
0.062911 -0.022969 38214.933590
0.062924 -0.023969 38214.871090
0.062930 -0.022975 38214.824220
0.062936 -0.027975 38214.789060
0.062943 -0.025981 38214.761720
0.062943 -0.025981 38214.734380
0.062949 -0.013981 38214.710940
0.062949 -0.032981 38214.660160
0.062955 -0.025981 38214.640620
0.062955 -0.017988 38214.625000
0.062955 -0.021988 38214.542970
0.062968 -0.027994 38207.687500
0.064063 -0.016450 38194.878910
0.065150 -0.033902 38175.496090
0.066568 -0.029507 38161.953120
0.066575 -0.017507 38159.339840
0.066688 -0.022558 38130.148440
0.068378 -0.022245 38080.656250
0.070308 -0.028033 38044.800780
0.070320 -0.035033 38030.253910
0.070421 -0.018077 38020.761720
0.070434 -0.019084 38019.687500
0.071607 -0.028550 38005.042970
0.074066 -0.021521 37977.960940
0.074167 -0.032559 37963.675780
0.074835 -0.031811 37945.441410
0.061921 0.108267 37065.921880
0.060004 0.093082 37110.734380
0.063314 0.112124 37004.417970
0.063478 0.093226 36995.093750
0.063434 0.099200 36998.203120
0.063497 0.094238 36994.105470
0.063510 0.102245 36993.449220
0.063523 0.109251 36992.894530
0.063529 0.112257 36988.304690
0.063561 0.104276 36978.355470
0.063529 0.109257 36992.359380
0.063624 0.104314 36960.257810
0.063636 0.108320 36960.277340
